,Job Title,Salary Estimate,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
0,Data Scientist I,Employer Provided Salary:$102K - $148K,Indeed,4.3,Remote,10000+ Employees,2004,Company - Private,Internet,Information Technology,$2 to $5 billion (USD)
1,University Grad Data Scientist,$97K - $186K (Glassdoor est.),Pinterest,4.2,"San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet,Information Technology,$100 to $500 million (USD)
2,Data Scientist - Entry Level,$69K - $115K (Glassdoor est.),JPL/NASA,4.5,"Pasadena, CA",5001 to 10000 Employees,1936,Nonprofit Organization,Federal Agencies,Government,Unknown / Non-Applicable
3,Data Scientist,$70K - $112K (Glassdoor est.),Booz Allen Hamilton,4.2,"Norfolk, VA",10000+ Employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD)
4,"Data Scientist, University Graduate - 2022 Start",$56K - $132K (Glassdoor est.),TikTok,-1,"Los Angeles, CA",1001 to 5000 Employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
5,"Data Scientist, Game Analytics & Strategy",$80K - $156K (Glassdoor est.),the NBA,3.9,"New York, NY",1001 to 5000 Employees,1946,Company - Private,Sports & Recreation,"Arts, Entertainment & Recreation",Unknown / Non-Applicable
6,Data Scientist,$103K - $200K (Glassdoor est.),Microsoft,4.4,"Redmond, WA",10000+ Employees,1975,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD)
7,Sr Data Scientist,$111K - $244K (Glassdoor est.),Netflix,4.2,"Los Gatos, CA",5001 to 10000 Employees,1997,Company - Public,Internet,Information Technology,$5 to $10 billion (USD)
8,"Data Scientist, Operations Data Science",Employer Provided Salary:$95K,Google,-1,"Mountain View, CA",10000+ Employees,1998,Company - Public,Internet,Information Technology,$10+ billion (USD)
9,Data Scientist Analyst,$68K - $133K (Glassdoor est.),MARS,4.2,"Newark, NJ",10000+ Employees,1911,Company - Private,Food & Beverage Manufacturing,Manufacturing,$10+ billion (USD)
10,Data Scientist,$96K - $180K (Glassdoor est.),"Amazon Web Services, Inc.",3.7,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet,Information Technology,$10+ billion (USD)
11,Sr Data Scientist,$92K - $187K (Glassdoor est.),Disney Streaming,3.3,"New York, NY",501 to 1000 Employees,2018,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
12,Data Scientist,Employer Provided Salary:$100K,Patrick J McGovern Foundation,-1,Remote,-1,-1,-1,-1,-1,-1
13,Senior Data Scientist,Employer Provided Salary:$100K - $130K,Aignyte,-1,Remote,-1,-1,-1,-1,-1,-1
14,Junior Data Scientist,Employer Provided Salary:$40K - $75K,"Arbor Research & Trading, LLC",-1,"Lake Barrington, Lake, IL",-1,-1,-1,-1,-1,-1
